Date,Latitude,Longitude,Forest_Loss,Precipitation,Humidity,Wind_Speed,Air_Pressure,Temperature,Landslide
2021-04-04,-8.25,123.15,1,16.3875,2189.1875,257.3875,24011.66875,633.35,1
2021-02-08,30.2937,79.5603,1,0.54375,896.3125,89.45625,17778.5875,58.4,1
2021-03-09,21.654994,-158.061102,0,12.20625,1868.125,686.825,24469.61875,530.1125,1
2018-09-28,-0.9033151361674958,119.87820157968686,0,5.0125,2073.875,117.575,24181.2875,641.48125,1
2021-04-09,32.7767,-96.797,1,2.16875,1416.875,422.53125,24011.84375,428.61875,0
2016-09-04,46.726906,13.787332,1,2.66875,1894.6875,121.30625,22514.04375,431.40625,1
